iteration,chain,parameters[1],parameters[81],parameters[161],parameters[241],parameters[321]
6418,1,-0.8298782392671115,0.5070896598638605,-3.180366155452538,-1.3051917057364488,-0.4243292418898599
6419,1,-0.6060554949962343,0.527029723034871,-3.1359626737376054,-1.272600564445491,-0.4008141782865669
6420,1,-0.6045162078139678,0.29281511529667376,-3.17199513652402,-1.4163330738571833,-0.4017719056576131
6421,1,-0.884467873674741,0.17766574587850292,-2.908974243973309,-1.014783553665412,-0.39967533044334314
6422,1,-0.6760745721659179,0.0030290213795652094,-2.898799543618234,-1.3428333738559262,-0.4221356805685503
6423,1,-0.5923185550485888,-0.050198926565009794,-2.8583287068336505,-1.259563596043946,-0.4210326795174939
6424,1,-0.5192501245136806,-0.13848555917767447,-2.7127488751599924,-1.5906299310724963,-0.4374392823800798
6425,1,-0.6876687812869077,-0.19031500892561284,-2.621207069344738,-1.5300498725135725,-0.3694373432001208
6426,1,-0.44464817020635805,-0.005587216475188691,-2.610177888576461,-1.2752332308131695,-0.3957461048676407
6427,1,-0.7290800211024141,0.018556119846323924,-2.645933120271597,-1.1562559219947235,-0.39439693184283464
6428,1,-0.5712514322678858,-0.263767920440912,-2.5806158713800516,-0.9903523977096783,-0.37146345602666014
6429,1,-0.7850693732999471,-0.2863758365745363,-2.6563692694048617,-1.341703431510246,-0.3804232946432518
6430,1,-1.0020049375478084,-0.2178609984043867,-2.6137653624296657,-1.7389481077798603,-0.4019231016164513
6431,1,-1.0210243059784554,-0.031848761241134095,-2.6540452932563627,-1.4441220786890128,-0.4247601407501695
6432,1,-1.050840895225369,0.036139467409267406,-2.767995130042882,-1.0383987838668618,-0.39186942928945273
6433,1,-1.113304440714961,0.014613182216010013,-2.6611190232642716,-1.0982507475432297,-0.35265580797869556
6434,1,-1.0810631452553805,0.1974072175965645,-2.722519293196211,-1.5475796243296167,-0.360467483941659
6435,1,-0.9768039693110611,-0.04993267205624541,-2.5249746270418565,-1.286562816367539,-0.38237244400627335
6436,1,-1.2805852358003238,0.2774511165252023,-2.4179026174908267,-1.3535641153669387,-0.3505000128179453
6437,1,-1.3186706654894196,0.4164691999432514,-2.3240841280405817,-1.6263565871903174,-0.3546616646352851
6438,1,-1.3377855820626252,0.42279257897578393,-2.330169357639918,-1.6663618944795038,-0.35301868930771224
6439,1,-1.3532078418719506,0.2293485897142321,-2.3516021735387285,-1.678936442457725,-0.35434740730218356
6440,1,-1.0403665754200528,0.47322736203684573,-2.0167132185480083,-1.3924066895397398,-0.37314250340447014
6441,1,-1.1232919087840105,0.32697077427397736,-2.298457795830683,-1.462301652865898,-0.3367483884868831
6442,1,-1.1898504043549036,0.31790649828953776,-2.143159963705871,-1.5885306993367783,-0.326357692328946
6443,1,-1.4862773457376293,0.5635116218807968,-1.8852643142357683,-1.1912001083276316,-0.41721866681609254
6444,1,-1.2838873213368271,0.30301496944075756,-1.909248901201933,-1.330720492643293,-0.43945404920779
6445,1,-1.4217462992842658,0.021247805205030255,-1.710759337125154,-1.430981708025516,-0.4833121366142276
6446,1,-1.5503951767368473,0.12337083858341562,-1.811302148475113,-1.5574014763797517,-0.47071364690894657
6447,1,-1.4766586006018014,0.11794083318512245,-1.9202870355611064,-1.5128171691157406,-0.48231355729644143
6448,1,-1.6855080897658583,0.17319588867409208,-2.023261281809332,-1.5578037731616075,-0.4681602915344541
6449,1,-1.66392091355698,0.17236311894281733,-2.002702135732238,-1.4933688660591515,-0.45643375634811245
6450,1,-1.3166036486906236,-0.22269408045990585,-1.8130468805071336,-1.5483551893314818,-0.43505167999229116
6451,1,-1.3656586147095575,-0.046804432949467734,-1.8635536741520944,-1.6916415702020502,-0.4252462082377933
6452,1,-1.4117194479402997,0.023578762304119264,-1.7183579398782813,-1.4429481270930962,-0.40595181600869723
6453,1,-1.3605911149960437,-0.013607852168043857,-1.8008345670126111,-1.3030884908917704,-0.3851049755812635
6454,1,-1.4396581219499318,-0.08033498932173246,-1.6933334678477763,-1.146632176895578,-0.37755719170793073
6455,1,-1.4086935092839976,-0.07884281995994304,-1.6192280100876257,-1.1059408102200896,-0.3608236102959902
6456,1,-1.358506175016349,0.08381903465335817,-1.545867941780527,-1.1025096175621067,-0.3524025420860302
6457,1,-0.9334768833064137,-0.14562085244752362,-1.58324624723048,-1.291010997488722,-0.35856477146616156
6458,1,-1.0117712384532687,-0.37828191150766843,-1.5546620115616117,-1.6117040052434137,-0.3549581190158712
6459,1,-1.0913002029060355,-0.26562248468638905,-1.391773309130329,-1.6126425305685927,-0.37361164098598887
6460,1,-1.0417110357238057,-0.49431555246917014,-1.342254647515822,-1.4071678171420037,-0.4014054304582084
6461,1,-1.0922551226808115,-0.32650095079412084,-1.4539328026140648,-1.580095662922987,-0.3942225733756837
6462,1,-1.2219301733479586,-0.36003523658805314,-1.2842863256577004,-1.5758139494875887,-0.4182250472213294
6463,1,-1.2312213503090033,-0.36656367460359884,-1.2887015568326314,-1.558466036722669,-0.41785260304535626
6464,1,-0.9379758936809028,0.0655786200925888,-1.5117857873751541,-1.94308796938745,-0.45936359590818127
6465,1,-0.9456193959960396,0.1472384813235142,-1.4645184069813766,-1.8890558494330776,-0.4605642621808622
6466,1,-1.053757226306162,0.1458358766611387,-1.2601052802444899,-1.809835871164738,-0.48033533832333497
6467,1,-1.182071240608569,-0.38608336744232874,-1.261659726485915,-1.7743538278727145,-0.43342119322385464
6468,1,-1.1491873068702705,-0.42495056025756434,-1.2087132450419527,-1.7731340380422822,-0.4493372995620938
6469,1,-1.239764797308308,-0.46316509956785146,-1.344343337761356,-1.7766454747061353,-0.4354980403584278
6470,1,-1.3312757468730736,-0.09324776698105966,-1.2445240145659986,-1.5770541884213438,-0.40495773143727065
6471,1,-1.2821402604044552,-0.21320037501380265,-1.2112247350529552,-1.6045480524336044,-0.416234632107923
6472,1,-1.1400875912208595,-0.08598847363853551,-1.1377695573667332,-1.382912063766979,-0.4471126513133732
6473,1,-1.1120111923380904,-0.2592211834062445,-1.1906747133942328,-1.555641329238158,-0.47933959652250624
6474,1,-1.0333019485866692,-0.432651857659637,-1.284440017989263,-1.3325002276894835,-0.45962059992785065
6475,1,-0.9624803441788138,-0.25764883976516073,-1.147295561792421,-0.9309779058148875,-0.4348456764687762
